objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
375;20121;1;2;BRERA;9.185040345760815;45.46930459638626;(45.46930459638626, 9.185040345760815)
151;20121;1;2;BRERA;9.183005687537886;45.47140959987305;(45.47140959987305, 9.183005687537886)
2560;20121;1;2;BRERA;9.183942039010965;45.476487665834455;(45.476487665834455, 9.183942039010965)
7884;20154;8;69;SARPI;9.180181792511268;45.48476282759094;(45.48476282759094, 9.180181792511268)
2177;20159;9;11;ISOLA;9.185361014173617;45.492766615965984;(45.492766615965984, 9.185361014173617)
10287;20158;9;79;DERGANO;9.182345417230957;45.49896065403198;(45.49896065403198, 9.182345417230957)
325;20161;9;84;PARCO NORD;9.183346705865523;45.52522487082851;(45.52522487082851, 9.183346705865523)
282;20141;5;37;MORIVIONE;9.191245685767052;45.43926742509631;(45.43926742509631, 9.191245685767052)
29127;20136;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.189384836772463;45.44852551245691;(45.44852551245691, 9.189384836772463)
511;20121;1;3;GIARDINI P.TA VENEZIA;9.197799480860345;45.47386956318109;(45.47386956318109, 9.197799480860345)
29130;20154;9;9;PORTA GARIBALDI - PORTA NUOVA;9.19231662250479;45.48357975157091;(45.48357975157091, 9.19231662250479)
3417;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19665283505866;45.52007634113156;(45.52007634113156, 9.19665283505866)
4572;20141;5;38;VIGENTINO - Q.RE FATIMA;9.201748276242599;45.42491516093036;(45.42491516093036, 9.201748276242599)
133;20141;5;37;MORIVIONE;9.19842263007357;45.43732035702978;(45.43732035702978, 9.19842263007357)
3388;20122;1;4;GUASTALLA;9.204534771854712;45.4597891703376;(45.4597891703376, 9.204534771854712)
14298;20121;1;3;GIARDINI P.TA VENEZIA;9.20112685019311;45.473466220800596;(45.473466220800596, 9.20112685019311)
123;20141;5;38;VIGENTINO - Q.RE FATIMA;9.208998931541998;45.42755639382993;(45.42755639382993, 9.208998931541998)
180;20135;4;26;XXII MARZO;9.209079986226177;45.45489256534144;(45.45489256534144, 9.209079986226177)
4243;20129;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.211095824640841;45.46832048587083;(45.46832048587083, 9.211095824640841)
532;20129;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.210866801474259;45.476700997770855;(45.476700997770855, 9.210866801474259)
415;20124;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.209934795044772;45.482384287794524;(45.482384287794524, 9.209934795044772)
36319;20124;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.206624092860759;45.48582193221257;(45.48582193221257, 9.206624092860759)
4165;20125;2;13;GRECO - SEGNANO;9.20876032533565;45.497101192989625;(45.497101192989625, 9.20876032533565)
3367;20137;4;28;UMBRIA - MOLISE - CALVAIRATE;9.214142405794137;45.44643966785468;(45.44643966785468, 9.214142405794137)
517;20129;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.211780653594097;45.477552470146975;(45.477552470146975, 9.211780653594097)
319;20125;2;13;GRECO - SEGNANO;9.211970660790286;45.50211942139358;(45.50211942139358, 9.211970660790286)
2167;20126;2;16;GORLA - PRECOTTO;9.21748132919052;45.511512355333;(45.511512355333, 9.21748132919052)
3366;20137;4;28;UMBRIA - MOLISE - CALVAIRATE;9.224039685161472;45.45102801254439;(45.45102801254439, 9.224039685161472)
3438;20137;4;28;UMBRIA - MOLISE - CALVAIRATE;9.220038257886875;45.45324631108356;(45.45324631108356, 9.220038257886875)
173;20137;4;28;UMBRIA - MOLISE - CALVAIRATE;9.220766912387939;45.45482926979094;(45.45482926979094, 9.220766912387939)
491;20131;3;20;LORETO - CASORETTO - NOLO;9.223647463047081;45.48884418397314;(45.48884418397314, 9.223647463047081)
14286;20127;2;20;LORETO - CASORETTO - NOLO;9.2234278909102;45.492641361883486;(45.492641361883486, 9.2234278909102)
169;20137;4;29;ORTOMERCATO;9.228920347324513;45.45326275451832;(45.45326275451832, 9.228920347324513)
485;20131;3;22;CITTA' STUDI;9.226363058772709;45.48449156416582;(45.48449156416582, 9.226363058772709)
503;20132;3;23;LAMBRATE - ORTICA;9.237218639714;45.48604848367341;(45.48604848367341, 9.237218639714)
4170;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.233638281180783;45.49356635878923;(45.49356635878923, 9.233638281180783)
170;20138;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.23990822492906;45.455268805483975;(45.455268805483975, 9.23990822492906)
351;20134;4;24;PARCO FORLANINI - CAVRIANO;9.25855366339242;45.46463407228803;(45.46463407228803, 9.25855366339242)
350;20134;4;24;PARCO FORLANINI - CAVRIANO;9.261756867519738;45.465588240924326;(45.465588240924326, 9.261756867519738)
11085;20151;8;64;TRENNO;9.098562090579966;45.49238514264037;(45.49238514264037, 9.098562090579966)
4241;20152;7;88;PARCO BOSCO IN CITTA';9.102234525393873;45.46311825005601;(45.46311825005601, 9.102234525393873)
3414;20153;7;61;QUARTO CAGNINO;9.106527423974967;45.47117143124519;(45.47117143124519, 9.106527423974967)
5867;20156;8;72;MAGGIORE - MUSOCCO - CERTOSA;9.102482413797937;45.512737353723665;(45.512737353723665, 9.102482413797937)
52;20153;7;56;FORZE ARMATE;9.112587975914057;45.470007762429375;(45.470007762429375, 9.112587975914057)
64;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.115078368690567;45.490892881908046;(45.490892881908046, 9.115078368690567)
66;20147;6;53;LORENTEGGIO;9.121648321510166;45.45234123104463;(45.45234123104463, 9.121648321510166)
44;20148;7;60;STADIO - IPPODROMI;9.122011803167473;45.47465439595745;(45.47465439595745, 9.122011803167473)
3431;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.122274462529965;45.49349538798848;(45.49349538798848, 9.122274462529965)
2962;20156;8;72;MAGGIORE - MUSOCCO - CERTOSA;9.128514965385616;45.50252139738909;(45.50252139738909, 9.128514965385616)
43;20148;7;60;STADIO - IPPODROMI;9.133283749284725;45.475414826649924;(45.475414826649924, 9.133283749284725)
364;20146;6;52;BANDE NERE;9.142795568323269;45.4599844218213;(45.4599844218213, 9.142795568323269)
3424;20149;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.145153237948966;45.488412893626275;(45.488412893626275, 9.145153237948966)
3401;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.145552011758435;45.507430333750456;(45.507430333750456, 9.145552011758435)
4239;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.145240458614362;45.509731729126955;(45.509731729126955, 9.145240458614362)
25112;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.14018872453683;45.51912396449863;(45.51912396449863, 9.14018872453683)
3444;20142;6;46;BARONA;9.150561351305743;45.43221027490772;(45.43221027490772, 9.150561351305743)
3767;20146;6;52;BANDE NERE;9.150663595392432;45.45539943024078;(45.45539943024078, 9.150663595392432)
2168;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.15099507046223;45.49921742723599;(45.49921742723599, 9.15099507046223)
19;20143;6;45;MONCUCCO - SAN CRISTOFORO;9.155349297061107;45.43733562473136;(45.43733562473136, 9.155349297061107)
138;20146;7;51;PORTA MAGENTA;9.152938102172424;45.46477672699496;(45.46477672699496, 9.152938102172424)
436;20149;8;67;PORTELLO;9.158778904012916;45.48117369753438;(45.48117369753438, 9.158778904012916)
428;20149;8;67;PORTELLO;9.156786449635527;45.48726254151974;(45.48726254151974, 9.156786449635527)
481;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.15687699485783;45.49825828704013;(45.49825828704013, 9.15687699485783)
5387;20161;9;81;BOVISASCA;9.158167615964356;45.51662323172702;(45.51662323172702, 9.158167615964356)
29119;20143;6;45;MONCUCCO - SAN CRISTOFORO;9.163645619945175;45.440788236973624;(45.440788236973624, 9.163645619945175)
136;20144;7;51;PORTA MAGENTA;9.159460948041055;45.46197661254748;(45.46197661254748, 9.159460948041055)
387;20144;7;51;PORTA MAGENTA;9.162879200047216;45.4614264452611;(45.4614264452611, 9.162879200047216)
28318;20154;8;69;SARPI;9.165319466878552;45.48732381988208;(45.48732381988208, 9.165319466878552)
323;20161;9;82;COMASINA;9.164899000849024;45.52674199712214;(45.52674199712214, 9.164899000849024)
1345;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.169413861658613;45.428324083208906;(45.428324083208906, 9.169413861658613)
3371;20142;6;45;MONCUCCO - SAN CRISTOFORO;9.167296763493455;45.440073762995716;(45.440073762995716, 9.167296763493455)
389;20123;1;7;MAGENTA - S. VITTORE;9.167948432720989;45.46113949525781;(45.46113949525781, 9.167948432720989)
434;20154;8;69;SARPI;9.167074576507567;45.48422173787261;(45.48422173787261, 9.167074576507567)
508;20161;9;80;AFFORI;9.1668100481696;45.51715102882023;(45.51715102882023, 9.1668100481696)
3412;20161;9;83;BRUZZANO;9.166961411340164;45.528606441107655;(45.528606441107655, 9.166961411340164)
280;20141;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.178040649573735;45.43455376591662;(45.43455376591662, 9.178040649573735)
141;20158;9;79;DERGANO;9.176776424658657;45.498332827016;(45.498332827016, 9.176776424658657)
398;20123;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.179258845241101;45.45212936186777;(45.45212936186777, 9.179258845241101)
401;20123;1;1;DUOMO;9.183177258004525;45.45800148572987;(45.45800148572987, 9.183177258004525)
286;20141;5;43;TIBALDI;9.187130101335907;45.442396686352346;(45.442396686352346, 9.187130101335907)
